12063 parechovirus_A1 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/817/305/GCF_002817305.1_ASM281730v1/GCF_002817305.1_ASM281730v1_genomic.fna.gz
12730 Human_respirovirus_1 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/848/705/GCF_000848705.1_ViralProj14743/GCF_000848705.1_ViralProj14743_genomic.fna.gz
11224 Human_parainfluenza_virus_4a rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/910/675/GCF_000910675.1_ViralProj214365/GCF_000910675.1_ViralProj214365_genomic.fna.gz
93838 Influenza_A_virus_goose_Guangdong_1_1996_5N1 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/864/105/GCF_000864105.1_ViralMultiSegProj15617/GCF_000864105.1_ViralMultiSegProj15617_genomic.fna.gz
42789 enterovirus_D68 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/816/725/GCF_002816725.1_ASM281672v1/GCF_002816725.1_ASM281672v1_genomic.fna.gz
12131 rhinovirus_B14 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/265/GCF_000861265.1_ViralProj15309/GCF_000861265.1_ViralProj15309_genomic.fna.gz
31631 Human_coronavirus_OC43 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/972/325/GCF_003972325.1_ASM397232v1/GCF_003972325.1_ASM397232v1_genomic.fna.gz
463676 Rhinovirus_C rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/872/325/GCF_000872325.1_ViralProj27901/GCF_000872325.1_ViralProj27901_genomic.fna.gz
2760809 enterovirus_A114 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/684/625/GCF_001684625.1_ViralProj328671/GCF_001684625.1_ViralProj328671_genomic.fna.gz
138948 Enterovirus_A rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/905/GCF_000861905.1_ViralProj15445/GCF_000861905.1_ViralProj15445_genomic.fna.gz
335341 Influenza_A_virus_New_York_392_2004_3N2 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/085/GCF_000865085.1_ViralMultiSegProj15622/GCF_000865085.1_ViralMultiSegProj15622_genomic.fna.gz
147711 Rhinovirus_A rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/245/GCF_000862245.1_ViralProj15330/GCF_000862245.1_ViralProj15330_genomic.fna.gz
138949 Enterovirus_B rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/325/GCF_000861325.1_ViralProj15321/GCF_000861325.1_ViralProj15321_genomic.fna.gz
12814 Respiratory_syncytial_virus rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/856/445/GCF_000856445.1_ViralProj15004/GCF_000856445.1_ViralProj15004_genomic.fna.gz
277944 Human_coronavirus_NL63 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/853/865/GCF_000853865.1_ViralProj14960/GCF_000853865.1_ViralProj14960_genomic.fna.gz
138951 Enterovirus_D rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/205/GCF_000861205.1_ViralProj15297/GCF_000861205.1_ViralProj15297_genomic.fna.gz
33757 Coxsackievirus_A2 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/816/655/GCF_002816655.1_ASM281665v1/GCF_002816655.1_ASM281665v1_genomic.fna.gz
130760 Influenza_A_virus_Hong_Kong_1073_99_9N2 rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/851/145/GCF_000851145.1_ViralMultiSegProj14892/GCF_000851145.1_ViralMultiSegProj14892_genomic.fna.gz
11250 Human_orthopneumovirus rsync://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/855/545/GCF_000855545.1_ViralProj15003/GCF_000855545.1_ViralProj15003_genomic.fna.gz
